fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9960130287416424,0.9959151848347823,0.9981307606618753,0.9999357765651894,9.78439068601844e-05,MLP,CICIoT2023
2,0.9960895212425159,0.996017701593355,0.99840479405314,0.9999502748697677,7.181964916092021e-05,MLP,CICIoT2023
3,0.9962093608939885,0.9961707116632912,0.9982743936920275,0.9999438102504357,3.864923069729631e-05,MLP,CICIoT2023
4,0.9962093685676345,0.9962117424183605,0.9984222400106777,0.9999493493158391,-2.3738507259896124e-06,MLP,CICIoT2023
5,0.9961765585481094,0.9961131274020786,0.9983017786192463,0.9999445456838414,6.343114603080124e-05,MLP,CICIoT2023
