item,value
model,LightGBM
dataset,CICIoT2023
xai_samples_shap,1000
shap_top_feature_1,Max
lime_rules_collected,24
best_rule,Magnitue < -0.3595
best_rule_precision_attack,1.0
best_rule_coverage,0.269746
shap_time_sec,3.926
sparsity_top10_mass_mean,0.863355
fidelity_mae_top10_mask,0.005901
stability_cosine_mean,0.842152
faithfulness_prob_drop_top10,-0.016655
