fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9975962046251782,0.9973521602073541,0.9909670733056462,0.9994196908041396,0.00024404441782410746,XGBoost,CICIoT2023
2,0.9973261658299091,0.9970841278510215,0.9866796773207892,0.9991748550147128,0.00024203797888755485,XGBoost,CICIoT2023
3,0.9976211264474976,0.9973233790537636,0.9933547819041451,0.9996149267682174,0.0002977473937340047,XGBoost,CICIoT2023
4,0.9978108780704288,0.997573718870751,0.9988209900743723,0.9999524155561983,0.00023715919967781662,XGBoost,CICIoT2023
5,0.9974475368878527,0.9971741267318416,0.9903332373921755,0.9994273410340656,0.0002734101560111224,XGBoost,CICIoT2023
