fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,1.0,0.9980216131309215,0.999480954944147,0.9999832508205845,0.0019783868690784745,ExtraTrees,CICIoT2023
2,1.0,0.9980047485865157,0.9994886431059612,0.9999834964977239,0.0019952514134843335,ExtraTrees,CICIoT2023
3,1.0,0.9980071969581635,0.9994505027236604,0.9999816495701735,0.001992803041836466,ExtraTrees,CICIoT2023
4,1.0,0.9980644034789784,0.9995011255547973,0.9999838992538728,0.0019355965210215986,ExtraTrees,CICIoT2023
5,1.0,0.9980109203641115,0.9994321878085027,0.9999804445283327,0.0019890796358884577,ExtraTrees,CICIoT2023
