fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9962258614134819,0.9962040724471362,0.9986972083302476,0.9999514134222011,2.178896634574823e-05,AdaBoost,CICIoT2023
2,0.9959985949074722,0.9959649792529056,0.9985687315987263,0.9999467083747613,3.3615654566609976e-05,AdaBoost,CICIoT2023
3,0.9959773490604411,0.9960090550121208,0.9986751210846659,0.9999509002934747,-3.1705951679672495e-05,AdaBoost,CICIoT2023
4,0.9959843427291051,0.9959724950884087,0.9986661845601633,0.9999507208225906,1.1847640696394102e-05,AdaBoost,CICIoT2023
5,0.9959598490375537,0.9960123347798515,0.9986890730256077,0.9999514029105444,-5.248574229776981e-05,AdaBoost,CICIoT2023
