fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.999999689498369,0.998354940273398,0.999645318035013,0.9999885182820175,0.0016447492249710427,RandomForest,CICIoT2023
2,0.999999689498369,0.998365435452096,0.999637855567552,0.9999876573475709,0.0016342540462730426,RandomForest,CICIoT2023
3,0.9999998447492087,0.9983095630521799,0.9996357909648894,0.9999881826176232,0.0016902816970287837,RandomForest,CICIoT2023
4,0.9999995342474813,0.9983667165535669,0.9996367648669479,0.9999876193759043,0.0016328176939144345,RandomForest,CICIoT2023
5,0.9999998447492087,0.9983337827108523,0.9995940195688333,0.9999856116644803,0.0016660620383563973,RandomForest,CICIoT2023
