fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9975725527770577,0.9975311617828317,0.9993365978317301,0.9999792581996567,4.1390994225953825e-05,CatBoost,CICIoT2023
2,0.997526346729247,0.9974142997548493,0.9993050957987202,0.9999782675645675,0.00011204697439770595,CatBoost,CICIoT2023
3,0.9976341367721189,0.9975384454804815,0.9993635983962621,0.9999800936664208,9.569129163733425e-05,CatBoost,CICIoT2023
4,0.9975330097033087,0.9975526424192493,0.9993532673084117,0.9999797774197969,-1.9632715940631762e-05,CatBoost,CICIoT2023
5,0.9976040028343158,0.9975079604231062,0.9993329608050218,0.9999791411466166,9.60424112096403e-05,CatBoost,CICIoT2023
