fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9999992237453201,0.9981519156403845,0.9993986983590607,0.9999743389329137,0.0018473081049356077,BaggingClassifier,CICIoT2023
2,1.0,0.9980956759728983,0.9995866549317971,0.9999865949825202,0.0019043240271017225,BaggingClassifier,CICIoT2023
3,0.9999992237453201,0.9982074788827343,0.9993265825310826,0.9999690536638031,0.00179174486258582,BaggingClassifier,CICIoT2023
4,0.9999984474918454,0.9981981646131957,0.9994281691796805,0.9999752745275794,0.0018002828786497505,BaggingClassifier,CICIoT2023
5,1.0,0.9981546261719988,0.9993952147327191,0.9999743049885712,0.0018453738280012066,BaggingClassifier,CICIoT2023
