fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,1.0,0.9977035791377182,0.9619892243259828,0.9976184598288491,0.0022964208622817672,DecisionTree,CICIoT2023
2,1.0,0.9976334322559892,0.9606749835027037,0.997536293562774,0.0023665677440107835,DecisionTree,CICIoT2023
3,1.0,0.997625304909856,0.9608965844584649,0.9975501805692556,0.0023746950901439856,DecisionTree,CICIoT2023
4,1.0,0.9976675240606444,0.9616469741537699,0.9975970910184194,0.002332475939355594,DecisionTree,CICIoT2023
5,1.0,0.9976681117542693,0.9618772691524972,0.997611509524927,0.0023318882457307177,DecisionTree,CICIoT2023
