item,value
model,NaiveBayes
dataset,CICIoT2023
xai_samples_shap,1000
shap_top_feature_1,syn_flag_number
lime_rules_collected,24
best_rule,syn_flag_number > -0.5110
best_rule_precision_attack,1.0
best_rule_coverage,0.206991
shap_time_sec,70.265
sparsity_top10_mass_mean,0.836307
fidelity_mae_top10_mask,0.054
stability_cosine_mean,0.935644
faithfulness_prob_drop_top10,-0.084579
