fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9925911798135235,0.9924183460521134,0.9934146135890198,0.9997485404695884,0.000172833761410085,LinearSVM,CICIoT2023
2,0.9926508612502142,0.9925532145858985,0.9923717285151702,0.9995896170280858,9.764666431566482e-05,LinearSVM,CICIoT2023
3,0.992630657550029,0.9927350864627034,0.9921801930212596,0.9996013100412224,-0.00010442891267437027,LinearSVM,CICIoT2023
4,0.9926341242934349,0.9926231414440534,0.9926885177656977,0.9996110709920576,1.0982849381502291e-05,LinearSVM,CICIoT2023
5,0.9925668771736147,0.992738766179586,0.9931381494916518,0.9996761265203568,-0.00017188900597131518,LinearSVM,CICIoT2023
