fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9999991128522864,0.9983217053816368,0.9995284403044451,0.9999803387129859,0.0016774074706495945,BaggingClassifier,CICIoT2023
2,1.0,0.9984157203147258,0.9996595118390614,0.9999880257397523,0.0015842796852741925,BaggingClassifier,CICIoT2023
3,1.0,0.998366121833529,0.9996479872302115,0.9999876898564591,0.0016338781664709812,BaggingClassifier,CICIoT2023
4,0.99999955642634,0.9983571302411406,0.9994452059088915,0.9999750284578997,0.001642426185199386,BaggingClassifier,CICIoT2023
5,0.9999997782132192,0.9983865442404599,0.9995884036309504,0.9999832184175973,0.0016132339727592537,BaggingClassifier,CICIoT2023
