item,value
model,MLP
dataset,CICIoT2023
xai_samples_shap,1000
shap_top_feature_1,Weight
lime_rules_collected,24
best_rule,IAT > 0.0110
best_rule_precision_attack,0.953953
best_rule_coverage,0.253808
shap_time_sec,110.057
sparsity_top10_mass_mean,0.888417
fidelity_mae_top10_mask,0.005726
stability_cosine_mean,0.892263
faithfulness_prob_drop_top10,-0.017995
