fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9983394653729691,0.957388899775731,0.988779000060298,0.9926476962918407,0.04095056559723809,ExtraTrees,UNSW-NB15
2,0.9983830184379306,0.9588892504610045,0.9896225045398653,0.9931305145742326,0.039493767976926164,ExtraTrees,UNSW-NB15
3,0.9984424943967786,0.9567354751702086,0.9888719009013368,0.9929219270546581,0.04170701922656994,ExtraTrees,UNSW-NB15
4,0.9984100023334437,0.9575644150417827,0.9888010744026214,0.992488709295,0.04084558729166099,ExtraTrees,UNSW-NB15
5,0.9984589672910381,0.9570091021658376,0.9883243835317788,0.9921169685271084,0.04144986512520055,ExtraTrees,UNSW-NB15
