fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.3692451879293729,0.3646487214951945,0.7146762083990031,0.7943620963220213,0.004596466434178381,NaiveBayes,UNSW-NB15
2,0.367134105315344,0.37396424667677447,0.7262385200738211,0.8025718459331646,-0.006830141361430453,NaiveBayes,UNSW-NB15
3,0.36856536352379266,0.36848064538956904,0.7282493586486386,0.8040931770797048,8.471813422361585e-05,NaiveBayes,UNSW-NB15
4,0.36853650338764177,0.36859609397112936,0.7242160744752486,0.8010656980763454,-5.959058348758983e-05,NaiveBayes,UNSW-NB15
5,0.36908467142958196,0.36657338198306705,0.7161859962924154,0.7953569797029967,0.0025112894465149083,NaiveBayes,UNSW-NB15
