fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.926654256923285,0.9272863568215892,0.9755125291453915,0.9844812333041307,-0.0006320998983042614,LogisticRegression,UNSW-NB15
2,0.926563897730346,0.9265830147914244,0.9757057313644302,0.9855335843447359,-1.9117061078377517e-05,LogisticRegression,UNSW-NB15
3,0.9269388115795876,0.9264556305137519,0.97492633504427,0.9845656174505552,0.00048318106583566944,LogisticRegression,UNSW-NB15
4,0.9265949149898611,0.9267012435168406,0.9763352325009458,0.9861719908323479,-0.00010632852697944895,LogisticRegression,UNSW-NB15
5,0.9267757631206853,0.9257896159524255,0.9756857988664029,0.9860183667554195,0.0009861471682598433,LogisticRegression,UNSW-NB15
