fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.968968052945502,0.9589723423777691,0.9916017064649717,0.9953974563364457,0.009995710567732963,CatBoost,UNSW-NB15
2,0.9625103472312987,0.9590350972508964,0.9917405181876465,0.9954681522140942,0.003475249980402273,CatBoost,UNSW-NB15
3,0.9688540582371887,0.9577023498694517,0.9914224327655486,0.9952727640082842,0.011151708367737045,CatBoost,UNSW-NB15
4,0.9692403242677824,0.9597818974918212,0.9918923939613092,0.9955551258590074,0.009458426775961204,CatBoost,UNSW-NB15
5,0.9702111449717022,0.9596049683496117,0.9918471552197559,0.9955305644163011,0.010606176622090513,CatBoost,UNSW-NB15
