fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9485822306238185,0.9476030732604697,0.9862760492923986,0.9923376516829061,0.0009791573633488593,GradientBoosting,UNSW-NB15
2,0.9481809110278056,0.9488366086226565,0.986790780531703,0.9926230417364277,-0.0006556975948509569,GradientBoosting,UNSW-NB15
3,0.9494402995168559,0.9471726673153854,0.9858576644402768,0.9920967786670366,0.0022676322014705264,GradientBoosting,UNSW-NB15
4,0.9482731558408521,0.9480006939023332,0.9866929270581846,0.9925873867751429,0.00027246193851893086,GradientBoosting,UNSW-NB15
5,0.9484349205321594,0.948482953442736,0.9868040583139006,0.9926564617859284,-4.803291057664527e-05,GradientBoosting,UNSW-NB15
