fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9527717829660148,0.9498623071206889,0.9881495378879266,0.9935153472588432,0.0029094758453259706,MLP,UNSW-NB15
2,0.9535323291994033,0.9522786360413399,0.9890078803162602,0.9939916443321738,0.0012536931580634514,MLP,UNSW-NB15
3,0.9547972884891148,0.9504087429798123,0.9880992225959301,0.9931961174629764,0.004388545509302566,MLP,UNSW-NB15
4,0.9527611803222007,0.9508040809268545,0.9884377302498362,0.9936403496805422,0.0019570993953461624,MLP,UNSW-NB15
5,0.9519360975422554,0.9501074137401903,0.9881495902160917,0.9935011605226671,0.0018286838020651341,MLP,UNSW-NB15
