fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9983394653729691,0.9480618301193556,0.930567313653552,0.9348025107501492,0.050277635253613506,DecisionTree,UNSW-NB15
2,0.9983830184379306,0.9517181571815718,0.934833023101975,0.9381850321386318,0.046664861256358825,DecisionTree,UNSW-NB15
3,0.9984424943967786,0.9478662703664331,0.929703548151225,0.9335430838006313,0.05057622403034545,DecisionTree,UNSW-NB15
4,0.9984100023334437,0.9499663255773534,0.9333882351553695,0.9372265377436649,0.04844367675609029,DecisionTree,UNSW-NB15
5,0.9984589672910381,0.9462085719243449,0.9274398253775913,0.9314533797938208,0.05225039536669318,DecisionTree,UNSW-NB15
