fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9653612730182836,0.9578087710463512,0.9913626118135321,0.9952707525673099,0.007552501971932357,XGBoost,UNSW-NB15
2,0.9661076056276632,0.959829487374671,0.9918376670441947,0.995551624141722,0.006278118252992182,XGBoost,UNSW-NB15
3,0.9659233685498585,0.9571590611639473,0.9911329068185202,0.9951365870601939,0.008764307385911163,XGBoost,UNSW-NB15
4,0.9656877999246606,0.9592611998952056,0.9915458473440504,0.995356153442389,0.006426600029454943,XGBoost,UNSW-NB15
5,0.9660792302783369,0.9579374073751199,0.9911947848482897,0.9951766036996132,0.008141822903216966,XGBoost,UNSW-NB15
