fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9988834567312382,0.9959247377091823,0.996052398521204,0.9998604125582417,0.002958719022055911,MLP,full_dataset
2,0.9983849113869167,0.9963122044340319,0.9974024970699187,0.9999384684387574,0.002072706952884751,MLP,full_dataset
3,0.9982134156244924,0.9951904328610425,0.9975115635859331,0.9999411425101924,0.003022982763449922,MLP,full_dataset
4,0.998351016511532,0.9952688918789878,0.9971219584815775,0.9999312694232563,0.003082124632544203,MLP,full_dataset
5,0.9980258590767095,0.996226087710927,0.9980081257914732,0.9999526495194861,0.0017997713657824654,MLP,full_dataset
