fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,1.0,0.9968333839413526,0.9987518104950299,0.9999693559838674,0.0031666160586474312,ExtraTrees,full_dataset
2,1.0,0.9960038224307184,0.997947215826082,0.9999499207168501,0.0039961775692816115,ExtraTrees,full_dataset
3,1.0,0.996875,0.9986809238261088,0.9999679440161516,0.0031250000000000444,ExtraTrees,full_dataset
4,1.0,0.9962660646057659,0.9984283603690527,0.9999614026346726,0.003733935394234056,ExtraTrees,full_dataset
5,1.0,0.99717967631362,0.9987352132706184,0.9999691545598741,0.0028203236863799663,ExtraTrees,full_dataset
