fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9999112022409326,0.9989670755326017,0.9945327822488182,0.9987730550775912,0.0009441267083308835,DecisionTree,RT-IoT2022
2,0.9999031320632871,0.9990635192301482,0.9961179247727254,0.9991335806148085,0.0008396128331388253,DecisionTree,RT-IoT2022
3,0.9999031304993623,0.9992573697975525,0.9968174466290494,0.9992887213762632,0.0006457607018097722,DecisionTree,RT-IoT2022
4,0.999895060582333,0.9990314457286756,0.9948183675475263,0.9988370674135334,0.0008636148536573796,DecisionTree,RT-IoT2022
5,0.9999031320632871,0.9992249564037977,0.9970069596284019,0.9993336392086958,0.0006781756594893551,DecisionTree,RT-IoT2022
