fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9995398735863221,0.9990637610976594,0.9999320880310235,0.9999921782497645,0.0004761124886627499,CatBoost,RT-IoT2022
2,0.9994995883710794,0.9992895892534229,0.9999787381056482,0.9999975699234572,0.0002099991176565119,CatBoost,RT-IoT2022
3,0.9995237749311895,0.9993220338983051,0.9999495652375957,0.9999941713762345,0.00020174103288439493,CatBoost,RT-IoT2022
4,0.9996125407639405,0.9989992575136392,0.9999564251029026,0.99999502425832,0.0006132832503012997,CatBoost,RT-IoT2022
5,0.9995237211104563,0.9991926368480543,0.999972376133791,0.9999968477896328,0.00033108426240202604,CatBoost,RT-IoT2022
