fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9919945714955045,0.9917889700653003,0.9960907930841976,0.9994457662953924,0.0002056014302042053,LinearSVM,RT-IoT2022
2,0.9916760950379828,0.9920578549751404,0.9961660175918664,0.9994998647327944,-0.0003817599371576108,LinearSVM,RT-IoT2022
3,0.9931493032300753,0.993158642054989,0.9962508807642924,0.9985389272168761,-9.338824913718291e-06,LinearSVM,RT-IoT2022
4,0.9933791945224946,0.9921127489009568,0.996112595468764,0.999350563645488,0.0012664456215377706,LinearSVM,RT-IoT2022
5,0.9917753324607753,0.991691720815957,0.9973743127917862,0.9996484579396696,8.361164481829331e-05,LinearSVM,RT-IoT2022
