fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9983394653729691,0.957182681418242,0.9888808802566227,0.9927834903752448,0.041156783954727105,ExtraTrees,UNSW-NB15
2,0.9983830184379306,0.9588821142621563,0.9897127121696646,0.9932403780934868,0.03950090417577434,ExtraTrees,UNSW-NB15
3,0.9984424943967786,0.9569359258775937,0.9888026918567067,0.9928073237517544,0.04150656851918488,ExtraTrees,UNSW-NB15
4,0.9984100023334437,0.9575583545432792,0.9887939665997564,0.9924558558389864,0.04085164779016448,ExtraTrees,UNSW-NB15
5,0.9984589672910381,0.9576510446075663,0.9884004521808609,0.9921779416921173,0.040807922683471776,ExtraTrees,UNSW-NB15
