fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9020315664921886,0.901526992906096,0.6516339764914615,0.8222048380511975,0.0005045735860926825,NaiveBayes,TON_IoT
2,0.901978475866805,0.9017570603337612,0.6540583531349998,0.8232399195090324,0.00022141553304377837,NaiveBayes,TON_IoT
3,0.9017444804918041,0.9016689400625852,0.6539215663910275,0.8231641298792424,7.554042921886772e-05,NaiveBayes,TON_IoT
4,0.9017547904626813,0.9026303645592986,0.6559003199949307,0.8240062342529926,-0.0008755740966173153,NaiveBayes,TON_IoT
5,0.9019837867918001,0.9017139420667535,0.6526822781228672,0.8226692166910239,0.0002698447250466529,NaiveBayes,TON_IoT
