fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.971823103392864,0.9716514839195869,0.9912660773690712,0.9972085400771613,0.00017161947327715144,LogisticRegression,TON_IoT
2,0.9725156689477997,0.9732757666334552,0.9918084022431329,0.9968009076575226,-0.0007600976856554365,LogisticRegression,TON_IoT
3,0.9721705220242843,0.9708225165856798,0.9908642461109527,0.9970981312110228,0.0013480054386045826,LogisticRegression,TON_IoT
4,0.9719328960198564,0.9712322695035461,0.9912343186642588,0.9969846770437756,0.0007006265163103098,LogisticRegression,TON_IoT
5,0.9717375766675717,0.9729442500996325,0.9918483808367136,0.9974474318082587,-0.001206673432060823,LogisticRegression,TON_IoT
