fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9970995846250257,0.9972492124761525,0.9995931692171213,0.9998458165596605,-0.0001496278511268212,GradientBoosting,TON_IoT
2,0.9970223077392274,0.9969616996739926,0.9990486930900104,0.9993612040912248,6.0608065234779573e-05,GradientBoosting,TON_IoT
3,0.9970230010588581,0.9963621844638658,0.9994096758863226,0.9997974773081404,0.0006608165949922862,GradientBoosting,TON_IoT
4,0.9970496894409938,0.99689537410742,0.9996722871716883,0.9998951559425546,0.00015431533357379568,GradientBoosting,TON_IoT
5,0.9968286002594782,0.9968291979866516,0.9992144966627207,0.9996917104921501,-5.977271734236567e-07,GradientBoosting,TON_IoT
