item,value
model,LogisticRegression
dataset,TON_IoT
xai_samples_shap,1000
shap_top_feature_1,cat__proto_udp
lime_rules_collected,24
best_rule,cat__conn_state_REJ > 0.0000
best_rule_precision_attack,1.0
best_rule_coverage,0.21635
shap_time_sec,0.184
sparsity_top10_mass_mean,0.773167
fidelity_mae_top10_mask,0.334567
stability_cosine_mean,0.972609
faithfulness_prob_drop_top10,-0.187907
