fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9924633520139138,0.9927803413330978,0.9984786648924374,0.9995081193508755,-0.0003169893191840023,AdaBoost,TON_IoT
2,0.9928376967976719,0.9929498088271046,0.9979515667078541,0.9992957883416499,-0.00011211202943273157,AdaBoost,TON_IoT
3,0.9932802086672046,0.993080579197524,0.9983264962139213,0.9994603041650378,0.00019962946968055117,AdaBoost,TON_IoT
4,0.9926408479863086,0.9921423211053724,0.9983560434686183,0.9994800681334465,0.000498526880936212,AdaBoost,TON_IoT
5,0.9924256644105599,0.9926691397279632,0.9985000550248109,0.9995009142975477,-0.00024347531740331885,AdaBoost,TON_IoT
