fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.996955733368822,0.9969616996739926,0.9996744320882046,0.9998919576277284,-5.966305170579389e-06,GradientBoosting,TON_IoT
2,0.9967734782126622,0.9970282977024749,0.9992087190697969,0.9996363293611169,-0.00025481948981276314,GradientBoosting,TON_IoT
3,0.9971776943592701,0.9964946532368993,0.9993785951905713,0.9997725264492754,0.00068304112237072,GradientBoosting,TON_IoT
4,0.9970053902974646,0.9968513016098275,0.999621924405158,0.9998759493375741,0.0001540886876371106,GradientBoosting,TON_IoT
5,0.9970054567233042,0.9970281658904413,0.9993003974746448,0.9997280510114951,-2.270916713709159e-05,GradientBoosting,TON_IoT
