fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9997227889647831,0.9992901823344128,0.9999923613091277,0.9999976218885204,0.00043260663037025804,LightGBM,TON_IoT
2,0.9997449715033375,0.9992018800159624,0.9999804549630897,0.999993899282846,0.0005430914873750803,LightGBM,TON_IoT
3,0.9997449630196379,0.9992018092324065,0.9999799638817604,0.9999937452664371,0.0005431537872313541,LightGBM,TON_IoT
4,0.9997616077616077,0.999024346977693,0.9999812597028167,0.9999941328013073,0.0007372607839146728,LightGBM,TON_IoT
5,0.9997116973265471,0.9993346344925479,0.9999926168839949,0.9999977014992472,0.0003770628339991866,LightGBM,TON_IoT
