item,value
model,BaggingClassifier
dataset,TON_IoT
xai_samples_shap,1000
shap_top_feature_1,cat__service_dns
lime_rules_collected,24
best_rule,cat__dns_rejected_T > 0.0000
best_rule_precision_attack,0.996767
best_rule_coverage,0.029314
shap_time_sec,1814.475
sparsity_top10_mass_mean,0.925583
fidelity_mae_top10_mask,0.7385
stability_cosine_mean,0.937891
faithfulness_prob_drop_top10,0.45141
