fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.997893032591459,0.9973379475575669,0.9989308874314863,0.9994040355968966,0.000555085033892122,KNN,TON_IoT
2,0.99802079002079,0.9972947802563307,0.998523020625416,0.999148011338125,0.0007260097644593566,KNN,TON_IoT
3,0.9979653048439051,0.9972052169284004,0.9977909070747395,0.9987291506495865,0.000760087915504748,KNN,TON_IoT
4,0.9979985918069778,0.997073040933079,0.9978867217945063,0.9987735843789517,0.0009255508738987839,KNN,TON_IoT
5,0.9979098635589978,0.9971617366623797,0.9986700219601754,0.9992493183114148,0.0007481268966180732,KNN,TON_IoT
