fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9724344917713248,0.9722449883708052,0.9910244146627379,0.997113102365624,0.00018950340051959724,LogisticRegression,TON_IoT
2,0.9726039532694757,0.9732949512843224,0.9918947375091087,0.9968127951811567,-0.0006909980148467332,LogisticRegression,TON_IoT
3,0.9721477476679001,0.9707996804828259,0.9908386972087572,0.9970853027669745,0.0013480671850741865,LogisticRegression,TON_IoT
4,0.9719550571757823,0.9712550697014694,0.991227145708583,0.9969777686604681,0.0006999874743129908,LogisticRegression,TON_IoT
5,0.9717087765957447,0.9729203108739455,0.9918325879396451,0.9974421221260743,-0.0012115342782007543,LogisticRegression,TON_IoT
