fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9999992237453201,0.998093037412494,0.9994848085917172,0.9999833400144791,0.001906186332826132,RandomForest,CICIoT2023
2,1.0,0.9981423956262425,0.9995058982518472,0.9999840470847747,0.001857604373757482,RandomForest,CICIoT2023
3,0.9999992237453201,0.9982171255342411,0.9995500562215717,0.999985470926288,0.0017820982110789974,RandomForest,CICIoT2023
4,1.0,0.9981826710696767,0.9995530059824859,0.9999855475603024,0.0018173289303232698,RandomForest,CICIoT2023
5,1.0,0.9980522203755766,0.9995020625165362,0.9999839244853237,0.0019477796244233847,RandomForest,CICIoT2023
