fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9976451729151392,0.9971580232265599,0.9991737681610808,0.9999741671818145,0.0004871496885793247,CatBoost,CICIoT2023
2,0.9977813792723204,0.9976084282714838,0.9993611885196223,0.9999800236107601,0.00017295100083658532,CatBoost,CICIoT2023
3,0.9977796261477562,0.9977073198009283,0.9994125379627541,0.9999816290681258,7.230634682786619e-05,CatBoost,CICIoT2023
4,0.9975814982284513,0.9973963188049165,0.9992919407892717,0.9999778521637211,0.0001851794235347981,CatBoost,CICIoT2023
5,0.99751944679159,0.9973561329327663,0.99925493372487,0.9999767060111491,0.00016331385882373262,CatBoost,CICIoT2023
