fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9962341929686814,0.9959344164536558,0.9975682753742846,0.9999005235581099,0.0002997765150256626,MLP,CICIoT2023
2,0.9963981917896805,0.9959515177144421,0.998024770347252,0.9999324684101443,0.00044667407523835134,MLP,CICIoT2023
3,0.9957786291350776,0.9956690844761706,0.9980022871539171,0.9999377562511553,0.00010954465890700149,MLP,CICIoT2023
4,0.9962088652553925,0.9958960838691224,0.9980835132726356,0.9999403558959934,0.0003127813862701112,MLP,CICIoT2023
5,0.9960808371027547,0.9959337597345916,0.9982010859131288,0.9999439979906997,0.00014707736816310657,MLP,CICIoT2023
