fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9925997992243574,0.9925505895615152,0.9950504845930216,0.9997465500626107,4.920966284216455e-05,LogisticRegression,full_dataset
2,0.9923124047502389,0.9924264150943396,0.9953504327850191,0.9997511420224288,-0.00011401034410074562,LogisticRegression,full_dataset
3,0.9923738418151583,0.9923107355968599,0.995310984165556,0.9997563037509198,6.310621829841434e-05,LogisticRegression,full_dataset
4,0.9923787132309236,0.9923127530809998,0.994873736788962,0.999745014803755,6.596014992388266e-05,LogisticRegression,full_dataset
5,0.9923655143839445,0.9923804132465327,0.995170510811754,0.9997371961959775,-1.4898862588208495e-05,LogisticRegression,full_dataset
