fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.999969281261869,0.9977739037484386,0.999478829497409,0.9999756343686386,0.002195377513430463,RandomForest,full_dataset
2,0.9999722746448476,0.9977692908437552,0.9995066111271333,0.9999774703317992,0.0022029838010924063,RandomForest,full_dataset
3,0.9999691236277343,0.9977698663432616,0.9994644842210672,0.9999737448395811,0.0021992572844726777,RandomForest,full_dataset
4,0.9999724320667049,0.9977516673400529,0.999483951696254,0.999975846234194,0.0022207647266520025,RandomForest,full_dataset
5,0.9999699114467097,0.9977604973927097,0.9994489216662482,0.9999724983702769,0.002209414053999992,RandomForest,full_dataset
