fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9999694384809223,0.9970951609139584,0.9989489855704706,0.9999388866764863,0.002874277566963901,ExtraTrees,full_dataset
2,0.9999724317887626,0.9972004447502505,0.9987969782332159,0.9999246759630407,0.0027719870385121137,ExtraTrees,full_dataset
3,0.9999691233456178,0.9971636832886893,0.9990037682210172,0.9999424794126611,0.00280544005692851,ExtraTrees,full_dataset
4,0.9999725891961735,0.9971178102926337,0.9989392731412979,0.9999377302344666,0.002854778903539801,ExtraTrees,full_dataset
5,0.9999700686530579,0.9971063778258226,0.998881124489401,0.999932170180947,0.0028636908272353656,ExtraTrees,full_dataset
