fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9922226439780005,0.9919844861021332,0.9962098003738459,0.9994629678474604,0.00023815787586733972,LinearSVM,RT-IoT2022
2,0.991553712729242,0.9919927676611132,0.9961375085817468,0.9994961861744892,-0.0004390549318712411,LinearSVM,RT-IoT2022
3,0.993336022589754,0.9932565417997612,0.9962851432098306,0.9985429116140478,7.948078999275854e-05,LinearSVM,RT-IoT2022
4,0.9934607808312074,0.9923086866597725,0.9961229959097131,0.9993517519267126,0.0011520941714349142,LinearSVM,RT-IoT2022
5,0.9917101627264354,0.9916270649468205,0.9975428958257536,0.9996912408887517,8.309777961490461e-05,LinearSVM,RT-IoT2022
