fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9999112022409326,0.9989670088449868,0.9947858248636063,0.998830936521359,0.0009441933959457582,DecisionTree,RT-IoT2022
2,0.9999031320632871,0.9990957824710973,0.9964035312078692,0.9991980758159804,0.0008073495921897544,DecisionTree,RT-IoT2022
3,0.9999031304993623,0.9991605862981856,0.9959605166806292,0.9990952107470834,0.0007425442011766981,DecisionTree,RT-IoT2022
4,0.999895060582333,0.998999128273012,0.9947859491518015,0.9988305069236255,0.0008959323093210569,DecisionTree,RT-IoT2022
5,0.9999031320632871,0.9992249564037977,0.9970069596284019,0.9993336392086958,0.0006781756594893551,DecisionTree,RT-IoT2022
