fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9999112022409326,0.9992573697975525,0.9999644490154258,0.9999954462026455,0.0006538324433800202,ExtraTrees,RT-IoT2022
2,0.9999031320632871,0.9993865624899105,0.9999574393303001,0.9999924483938928,0.0005165695733765352,ExtraTrees,RT-IoT2022
3,0.9999031304993623,0.9992575136391516,0.9994059946740154,0.9998673643698277,0.000645616860210696,ExtraTrees,RT-IoT2022
4,0.999895060582333,0.9992897268676955,0.9999550420655423,0.9999943711725151,0.000605333714637557,ExtraTrees,RT-IoT2022
5,0.9999031320632871,0.9992895892534229,0.9999453976850169,0.9999909363428321,0.0006135428098641427,ExtraTrees,RT-IoT2022
