item,value
model,XGBoost
dataset,RT-IoT2022
xai_samples_shap,1000
shap_top_feature_1,flow_iat.min
lime_rules_collected,24
best_rule,flow_pkts_per_sec > 0.4620
best_rule_precision_attack,1.0
best_rule_coverage,0.21567
shap_time_sec,75.226
sparsity_top10_mass_mean,0.781009
fidelity_mae_top10_mask,0.042805
stability_cosine_mean,0.809888
faithfulness_prob_drop_top10,0.043292
