fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9697178527641774,0.9689703808180536,0.9523075981821203,0.9909866535394983,0.00074747194612379,NaiveBayes,RT-IoT2022
2,0.9694963613631263,0.9694482736511397,0.9750924560475338,0.9962001380102313,4.808771198661077e-05,NaiveBayes,RT-IoT2022
3,0.9692550540460413,0.9704741448401885,0.9759392990434729,0.996299644900047,-0.0012190907941471707,NaiveBayes,RT-IoT2022
4,0.9712395981832046,0.9710706829704742,0.9750043289069377,0.9962200730839758,0.00016891521273043608,NaiveBayes,RT-IoT2022
5,0.969526465967747,0.9695569884194656,0.9761620971419624,0.9964431773733609,-3.052245171852874e-05,NaiveBayes,RT-IoT2022
