fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9999031304993623,0.9989024468977984,0.9991087360791527,0.9998015772928046,0.001000683601563912,BaggingClassifier,RT-IoT2022
2,0.9999031336271613,0.9991603694374476,0.9999801764645029,0.999997678864855,0.0007427641897137516,BaggingClassifier,RT-IoT2022
3,0.9999031304993623,0.9992897727272727,0.999982223359796,0.9999978923584397,0.0006133577720895955,BaggingClassifier,RT-IoT2022
4,0.999895060582333,0.9990313831848121,0.9991156490308504,0.9998024184066534,0.0008636773975209122,BaggingClassifier,RT-IoT2022
5,0.9999031320632871,0.999192741128225,0.9996908634892335,0.9999324724420686,0.0007103909350620885,BaggingClassifier,RT-IoT2022
