fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9973523618869264,0.9968362603305785,0.9996938521800388,0.9999636478010709,0.0005161015563479587,AdaBoost,RT-IoT2022
2,0.997402471685328,0.9974178555290169,0.9997152418277704,0.9999670296049077,-1.5383843688820953e-05,AdaBoost,RT-IoT2022
3,0.9971279204853492,0.997483546264034,0.9997785480578745,0.9999744967548114,-0.0003556257786848649,AdaBoost,RT-IoT2022
4,0.9973940054056235,0.996933802407772,0.9996454076613261,0.9999588950344876,0.0004602029978515443,AdaBoost,RT-IoT2022
5,0.9973362177520907,0.9977728285077951,0.9998094358922537,0.9999781269105348,-0.0004366107557044474,AdaBoost,RT-IoT2022
