fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.999903128935387,0.9991928453814612,0.9999662560675463,0.9999961146073159,0.0007102835539257724,LightGBM,RT-IoT2022
2,0.9998708490063446,0.9994510285142248,0.9999913145253775,0.9999989877077137,0.00041982049211974903,LightGBM,RT-IoT2022
3,0.999862773746196,0.9994188674372054,0.9999780004857227,0.9999974562424089,0.0004439063089906048,LightGBM,RT-IoT2022
4,0.999862773746196,0.9990313206328705,0.9999627133127673,0.9999957295111789,0.0008314531133255532,LightGBM,RT-IoT2022
5,0.999854700440742,0.9992574656981437,0.9999621600978232,0.999995631900587,0.0005972347425983182,LightGBM,RT-IoT2022
