item,value
model,LogisticRegression
dataset,RT-IoT2022
xai_samples_shap,1000
shap_top_feature_1,fwd_pkts_per_sec
lime_rules_collected,24
best_rule,payload_bytes_per_second > 0.3278
best_rule_precision_attack,1.0
best_rule_coverage,0.246859
shap_time_sec,0.033
sparsity_top10_mass_mean,0.640297
fidelity_mae_top10_mask,0.059938
stability_cosine_mean,0.991902
faithfulness_prob_drop_top10,-0.086036
