fold,train_f1,val_f1,val_roc_auc,val_pr_auc,cv_gap,model,dataset
1,0.9999112022409326,0.9992251065478497,0.9991103956168144,0.9998010311899772,0.0006860956930828666,RandomForest,RT-IoT2022
2,0.9999031336271613,0.9993865624899105,0.9999874973422631,0.9999985270110779,0.0005165711372507875,RandomForest,RT-IoT2022
3,0.9999031304993623,0.9993220338983051,0.9999826659317513,0.999997933252834,0.0005810966010572072,RandomForest,RT-IoT2022
4,0.999895060582333,0.9991607488702389,0.9996739719929403,0.9999298546903227,0.0007343117120941489,RandomForest,RT-IoT2022
5,0.9999031320632871,0.9992572738721865,0.9999780004857227,0.9999973922629698,0.0006458581911005234,RandomForest,RT-IoT2022
