iter	Passed	Remaining
349	71249	132320
350	71338	131904
351	71429	131495
352	71591	131216
353	71689	130822
354	71774	130407
355	71924	130110
356	72041	129755
357	72108	129311
358	72185	128888
359	72259	128462
360	72390	128137
361	72501	127778
362	72614	127424
363	72717	127055
364	72798	126649
365	72897	126276
366	72996	125903
367	73081	125510
368	73172	125126
369	73267	124753
370	73311	124293
371	73424	123952
372	73544	123626
373	73610	123209
374	73692	122820
375	73809	122492
376	74002	122291
377	74086	121909
378	74142	121484
379	74190	121047
380	74311	120731
381	74393	120353
382	74554	120105
383	74663	119773
384	74711	119343
385	74837	119041
386	74917	118667
387	74998	118296
388	75209	118131
389	75292	117765
390	75418	117467
391	75555	117188
392	75707	116931
393	75872	116697
394	75996	116399
395	76075	116034
396	76166	115688
397	76328	115451
398	76416	115103
399	76573	114860
400	76800	114721
401	76908	114405
402	77078	114183
403	77135	113794
404	77261	113507
405	77382	113214
406	77487	112898
407	77650	112668
408	77696	112270
409	77892	112088
410	78145	111989
411	78324	111783
412	78467	111526
413	78585	111234
414	78652	110870
415	78754	110559
416	78900	110309
417	78976	109962
418	79069	109641
419	79190	109357
420	79249	108991
421	79419	108777
422	79518	108468
423	79637	108186
424	79773	107929
425	79985	107773
426	80086	107469
427	80195	107177
428	80402	107016
429	80502	106712
430	80618	106431
431	80727	106141
432	80867	105893
433	80965	105590
434	81097	105333
435	81192	105029
436	81318	104765
437	81515	104593
438	81640	104328
439	81749	104044
440	81957	103887
441	82075	103615
442	82186	103335
443	82326	103092
444	82524	102923
445	82662	102679
446	82788	102420
447	82912	102159
448	82997	101851
449	83147	101624
450	83266	101360
451	83371	101078
452	83477	100799
453	83586	100524
454	83687	100240
455	83850	100032
456	83933	99727
457	84072	99491
458	84167	99204
459	84222	98869
460	84351	98623
461	84475	98371
462	84528	98038
463	84562	97683
464	84654	97398
465	84778	97149
466	84850	96841
467	84999	96623
468	85084	96332
469	85158	96029
470	85256	95755
471	85377	95506
472	85470	95228
473	85607	94999
474	85713	94735
475	85818	94471
476	85895	94179
477	86049	93970
478	86175	93731
479	86259	93447
480	86358	93180
481	86537	93000
482	86607	92703
483	86649	92378
484	86734	92099
485	86896	91903
486	87008	91653
487	87087	91370
488	87182	91105
489	87425	90993
490	87561	90771
491	87669	90520
492	87757	90249
493	87859	89994
494	87958	89735
495	88045	89465
496	88171	89236
497	88263	88972
498	88329	88683
499	88473	88473
500	88622	88268
501	88723	88016
502	88829	87770
503	88957	87545
504	89139	87374
505	89224	87108
506	89285	86819
507	89393	86578
508	89562	86395
509	89725	86207
510	89809	85942
511	89869	85656
512	90016	85454
513	90266	85349
514	90517	85244
515	90749	85121
516	90944	84963
517	91002	84677
518	91146	84473
519	91411	84379
520	91661	84272
521	91911	84163
522	92173	84066
523	92248	83798
524	92353	83557
525	92457	83317
526	92575	83089
527	92721	82887
528	92841	82661
529	92913	82394
530	93033	82170
531	93118	81916
532	93267	81718
533	93367	81478
534	93489	81257
535	93636	81058
536	93799	80873
537	93929	80660
538	94042	80433
539	94167	80216
540	94281	79991
541	94356	79733
542	94485	79520
543	94612	79307
544	94741	79096
545	94841	78860
546	94999	78673
547	95095	78436
548	95208	78212
549	95343	78008
550	95531	77846
551	95813	77761
552	96156	77724
553	96300	77527
554	96442	77327
555	96590	77133
556	96695	76904
557	96776	76657
558	96943	76479
559	97030	76238
560	97107	75989
561	97232	75778
562	97296	75521
563	97369	75271
564	97475	75047
565	97623	74855
566	97733	74635
567	97812	74392
568	97937	74184
569	98061	73976
570	98137	73731
571	98278	73537
572	98334	73279
573	98460	73073
574	98594	72874
575	98775	72709
576	98944	72536
577	99074	72334
578	99237	72157
579	99345	71939
580	99568	71805
581	99720	71620
582	99889	71447
583	100036	71258
584	100133	71034
585	100305	70864
586	100469	70688
587	100718	70571
588	100818	70350
589	100919	70130
590	101107	69971
591	101191	69740
592	101356	69565
593	101509	69381
594	101686	69215
595	102011	69149
596	102155	68959
597	102275	68754
598	102342	68512
599	102427	68285
600	102549	68082
601	102759	67937
602	102853	67715
603	102987	67521
604	103092	67308
605	103183	67086
606	103280	66868
607	103377	66651
608	103494	66447
609	103623	66251
610	103740	66047
611	103887	65863
612	103996	65655
613	104045	65409
614	104115	65178
615	104293	65014
616	104440	64831
617	104579	64642
618	104743	64470
619	104990	64349
620	105169	64185
621	105347	64021
622	105616	63912
623	105810	63757
624	106092	63655
625	106320	63520
626	106596	63413
627	106914	63331
628	107141	63194
629	107411	63082
630	107620	62934
631	107872	62811
632	108109	62679
633	108357	62553
634	108650	62452
635	108937	62347
636	109195	62225
637	109565	62167
638	109837	62052
639	110042	61899
640	110312	61782
641	110576	61661
642	110848	61544
643	111081	61405
644	111359	61290
645	111641	61178
646	111990	61101
647	112346	61027
648	112775	60992
649	113062	60879
650	113290	60734
651	113540	60601
652	113773	60458
653	113973	60297
654	114239	60171
655	114620	60105
656	114935	60004
657	115241	59897
658	115598	59816
659	115958	59735
660	116265	59627
661	116458	59460
662	116561	59247
663	116910	59159
664	117257	59069
665	117364	58858
666	117517	58670
667	117608	58452
668	117747	58257
669	118120	58178
670	118431	58068
671	118705	57939
672	118865	57754
673	119015	57565
674	119134	57361
675	119287	57173
676	119422	56976
677	119528	56767
678	119641	56560
679	119699	56329
680	119859	56145
681	119969	55938
682	120042	55714
683	120114	55491
684	120278	55310
685	120384	55103
686	120470	54886
687	120572	54678
688	120701	54482
689	120859	54299
690	120971	54095
691	121070	53887
692	121283	53728
693	121539	53589
694	121612	53369
695	121703	53157
696	121813	52954
697	121956	52766
698	122015	52541
699	122064	52313
700	122117	52087
701	122259	51899
702	122433	51724
703	122598	51547
704	122826	51395
705	123180	51296
706	123357	51122
707	123548	50955
708	123754	50793
709	124010	50652
710	124250	50503
711	124522	50368
712	124702	50195
713	124855	50012
714	124965	49811
715	125130	49632
716	125387	49490
717	125491	49287
718	125674	49116
719	125879	48953
720	125988	48752
721	126044	48532
722	126091	48308
723	126188	48105
724	126263	47892
725	126386	47699
726	126510	47506
727	126606	47303
728	126678	47091
729	126739	46876
730	126840	46675
731	126935	46473
732	127060	46282
733	127135	46073
734	127207	45864
735	127355	45681
736	127497	45497
737	127632	45311
738	127717	45107
739	127778	44895
740	127887	44700
741	127997	44506
742	128125	44318
743	128211	44115
744	128284	43909
745	128393	43715
746	128522	43529
747	128608	43328
748	128720	43136
749	128934	42978
750	129036	42783
751	129170	42598
752	129288	42409
753	129462	42238
754	129623	42063
755	129813	41897
756	130036	41742
757	130184	41562
758	130375	41397
759	130559	41229
760	130762	41067
761	130926	40893
762	131040	40703
763	131182	40522
764	131312	40337
765	131464	40160
766	131631	39987
767	131790	39811
768	131973	39643
769	132078	39452
770	132236	39276
771	132345	39086
772	132512	38913
773	132636	38728
774	132755	38542
775	132904	38364
776	132986	38167
777	133143	37991
778	133199	37788
779	133283	37592
780	133444	37419
781	133546	37229
782	133604	37027
783	133651	36822
784	133797	36645
785	133904	36457
786	133968	36258
787	134219	36109
788	134442	35953
789	134632	35788
790	134857	35632
791	135163	35497
792	135584	35392
793	135829	35240
794	136026	35075
795	136141	34890
796	136246	34702
797	136437	34536
798	136572	34356
799	136727	34181
800	136956	34025
801	137096	33846
802	137218	33663
803	137355	33484
804	137488	33304
805	137551	33107
806	137676	32926
807	138042	32802
808	138238	32637
809	138500	32487
810	138650	32311
811	138809	32138
812	138939	31957
813	139030	31768
814	139205	31598
815	139284	31407
816	139358	31214
817	139471	31031
818	139602	30852
819	139740	30674
820	139855	30492
821	140129	30344
822	140309	30175
823	140404	29989
824	140557	29815
825	140646	29627
826	140787	29451
827	141002	29290
828	141185	29122
829	141308	28942
830	141348	28745
831	141414	28554
832	141612	28390
833	141687	28201
834	141833	28027
835	142194	27894
836	142283	27708
837	142363	27521
838	142401	27326
839	142613	27164
840	142892	27015
841	143129	26858
842	143318	26691
843	143482	26520
844	143584	26337
845	143673	26153
846	143779	25972
847	143959	25803
848	144012	25613
849	144089	25427
850	144230	25252
851	144317	25069
852	144458	24894
853	144582	24717
854	144741	24546
855	144922	24379
856	145054	24203
857	145144	24021
858	145200	23833
859	145381	23666
860	145474	23485
861	145559	23303
862	145695	23128
863	145791	22948
864	145828	22759
865	145895	22575
866	146039	22402
867	146125	22221
868	146189	22037
869	146295	21860
870	146426	21686
871	146531	21509
872	146607	21327
873	146686	21147
874	146780	20968
875	146887	20792
876	147013	20618
877	147145	20446
878	147214	20264
879	147331	20090
880	147471	19919
881	147540	19738
882	147579	19554
883	147646	19374
884	147800	19205
885	147885	19028
886	147971	18850
887	148008	18667
888	148048	18485
889	148082	18302
890	148150	18123
891	148296	17955
892	148372	17778
893	148453	17601
894	148497	17421
895	148550	17242
896	148645	17068
897	148788	16900
898	148886	16726
899	148950	16550
900	149048	16377
901	149218	16212
902	149329	16040
903	149408	15866
904	149495	15692
905	149678	15529
906	149868	15366
907	149966	15194
908	150053	15021
909	150168	14851
910	150298	14683
911	150453	14517
912	150553	14346
913	150669	14176
914	150740	14003
915	150782	13827
916	150888	13657
917	150997	13487
918	151032	13311
919	151082	13137
920	151173	12967
921	151259	12796
922	151324	12624
923	151363	12449
924	151408	12276
925	151481	12105
926	151620	11939
927	151709	11770
928	151846	11605
929	151890	11432
930	151922	11259
931	151993	11089
932	152113	10923
933	152194	10754
934	152276	10586
935	152421	10421
936	152533	10255
937	152639	10089
938	152716	9920
939	152807	9753
940	153008	9593
941	153085	9425
942	153179	9258
943	153241	9090
944	153336	8924
945	153479	8761
946	153614	8597
947	153679	8429
948	153727	8261
949	153771	8093
950	153835	7926
951	153947	7762
952	154024	7596
953	154214	7435
954	154314	7271
955	154435	7107
956	154506	6942
957	154551	6775
958	154615	6610
959	154685	6445
960	154780	6281
961	154966	6121
962	155083	5958
963	155205	5796
964	155280	5631
965	155330	5467
966	155382	5302
967	155423	5137
968	155541	4976
969	155674	4814
970	155750	4651
971	155790	4487
972	155869	4325
973	155945	4162
974	155998	3999
975	156043	3837
976	156082	3674
977	156119	3511
978	156220	3350
979	156346	3190
980	156419	3029
981	156493	2868
982	156527	2706
983	156572	2545
984	156650	2385
985	156750	2225
986	156816	2065
987	156895	1905
988	156955	1745
989	157009	1585
990	157112	1426
991	157216	1267
992	157301	1108
993	157376	949
994	157447	791
995	157574	632
996	157669	474
997	157851	316
998	158067	158
999	158275	0
